AG_Name_Pair WB_memorability
1A 0.787
2A 0.837
3A 0.901
4A 0.818
5A 0.782
6A 0.813
7A 0.856
8A 0.856
9A 0.833
10A 0.786
11A 0.851
12A 0.922
13A 0.825
14A 0.838
15A 0.844
16A 0.838
17A 0.916
18A 0.82
19A 0.84
20A 0.884
21A 0.836
22A 0.886
23A 0.783
24A 0.768
25A 0.858
26A 0.869
27A 0.878
28A 0.794
1B 0.862
2B 0.783
3B 0.718
4B 0.861
5B 0.894
6B 0.821
7B 0.808
8B 0.847
9B 0.847
10B 0.888
11B 0.893
12B 0.83
13B 0.796
14B 0.887
15B 0.868
16B 0.83
17B 0.864
18B 0.863
19B 0.902
20B 0.774
21B 0.782
22B 0.893
23B 0.853
24B 0.86
25B 0.849
26B 0.851
27B 0.818
28B 0.806
